paket,dalamNegeri,jenisPengadaan,metode,lembaga,satker,lokasi,id,pagu,pemilihanDate,sumberDana,isUMKM,volumePekerjaan,uraianPekerjaan,spesifikasiPekerjaan,ownerType,potensiPemborosan,tags.isInappropriate,tags.inappropriateReason,jumlahTagAktif,_source_part
Belanja Sewa Gedung tempat pertemuan (Belanja Bahan Bahan Bakar dan Pelumas (Pelatihan dan pendampingan dan pemanfaatan sistem aplikasi pembukaan/ pencatatan keuangan usaha mikro dan usaha kecil)),True,Jasa Lainnya,Pengadaan Langsung,Kab. Pasuruan,"DINAS KOPERASI, USAHA KECIL, MENENGAH, PERINDUSTRIAN DAN PERDAGANGAN","Jawa Timur, Pasuruan (Kab.)",64256887,19980000.0,January 2026,APBD,True,1 PAKET,"sewa ruang meeting termasuk meja,kursi,LCD dan kelengkapan lainnya",sesuai DPA,kabkota,0.0,low,,0,59
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul III Aplikasi NEW SAMBARA - UI/UX Designer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64256959,20220000.0,June 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Informasi Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - UI/UX Designer Spesifikasi : Pengalaman kurang dari 3 tahun, perseorangan",provinsi,0.0,low,,0,59
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul II Aplikasi BESTRONG - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64257759,20220000.0,March 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Informasi Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman kurang dari 3 tahun, perseorangan",provinsi,0.0,low,,0,59
Jasa Pemeliharaan Rutin Website/ Aplikasi Tipe 1 (SIMEVLAP),True,Jasa Lainnya,E-Purchasing,Kab. Mahakam Ulu,"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah","Kalimantan Timur, Mahakam Ulu (Kab.)",64277097,55121400.0,January 2026,APBD,True,1 Paket,Jasa Pemeliharaan Rutin Website/ Aplikasi Tipe 1;,"Maintenance Bug/Error, Updating Bahasa Pemograman dan Security, Backup Database dan Data;",kabkota,0.0,low,,0,59
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul IV Aplikasi SIPANDU JAWARA - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64257744,27445275.0,September 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,59
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,Pengadaan Langsung,Kab. Kutai Timur,Dinas Pariwisata,"Kalimantan Timur, Kutai Timur (Kab.)",64258159,23500000.0,January 2026,APBD,True,1 Paket,Pemeliharaan Rutin Website;,"Pembaharuan konten, Optimalisasi Website, Monitoring Keamanan, Backup data, Perpanjangan sewa Hosting;",kabkota,0.0,low,,0,59
Aplikasi Electronic Office,True,Jasa Lainnya,E-Purchasing,Kab. Mahakam Ulu,"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah","Kalimantan Timur, Mahakam Ulu (Kab.)",64277092,50611500.0,January 2026,APBD,True,1 Paket,Aplikasi Electronic Office;,"2 Programmer, 2 Desainer, Waktu Pelaksanaan 2 Bulan;",kabkota,0.0,low,,0,59
Langganan Untuk Layanan Aplikasi 002,True,Barang,Pengadaan Langsung,Kementerian Kelautan Dan Perikanan,BALAI PERIKANAN BUDIDAYA AIR TAWAR SUNGAI GELAM,"Jambi, Muaro Jambi (Kab.)",64258209,3000000.0,February 2026,APBN - RUPIAH MURNI (A),True,"( 1, THN, @ 3000000 )","1. Langganan Layanan Aplikasi ( 1, THN, @ 3000000 );",Langganan layanan aplikasi pendukung kegiatan perkantoran,central,0.0,low,,0,59
Belanja Sewa Aset Tidak Berwujud - Aplikasi CBT Sub Kegiatan Pengelolaan Dana BOS Sekolah Menengah Pertama (SMPN 20 BALIKPAPAN),True,Jasa Lainnya,E-Purchasing,Kota Balikpapan,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Kalimantan Timur, Balikpapan (Kota)",64277553,1190000.0,October 2026,APBD,True,1 Tahun,Sewa Aplikasi CBT online;,Aplikasi CBT Cloud Online 1.000 siswa;,kabkota,0.0,low,,0,59
Belanja jasa konversi Aplikasi / Sistem Informasi_Belanja Pemeliharaan Simpus UPTD Puskesmas Baktijaya TA 2026,True,Jasa Lainnya,E-Purchasing,Kota Depok,UPTD Puskesmas Baktijaya,"Jawa Barat, Depok (Kota)",64315563,14400000.0,January 2026,BLUD,True,1 Tahun,Belanja jasa konversi Aplikasi / Sistem Informasi_Belanja Pemeliharaan Simpus (Biaya Berlangganan Aplikasi simpus Ciptalife)_UPTD Puskesmas Baktijaya TA 2026,Belanja jasa konversi Aplikasi / Sistem Informasi_Belanja Pemeliharaan Simpus (Biaya Berlangganan Aplikasi simpus Ciptalife)_UPTD Puskesmas Baktijaya TA 2026,kabkota,0.0,low,,0,59
Pengadaan Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64278018,1123000.0,August 2026,APBD,True,1 Paket,Map; Ballpoint; Blok Note;,Map batik kertas; Pilot; A5;,kabkota,0.0,low,,0,59
Pengadaan Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64278021,10500000.0,August 2026,APBD,True,60 Orang,Alat/Bahan untuk Kegiatan Kantor Lainnya;,Tas Ransel;,kabkota,0.0,low,,0,59
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,E-Purchasing,Kota Depok,UPTD Puskesmas Pengasinan,"Jawa Barat, Depok (Kota)",64316728,12000000.0,January 2026,APBD,True,1 tahun,Biaya Langganan Sistem Informasi Kesehatan (RME) PKM Bedahan,Biaya Langganan Sistem Informasi Kesehatan (RME) PKM Bedahan,kabkota,0.0,low,,0,59
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul III Aplikasi SIPANDU JAWARA - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64257502,27445275.0,June 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,59
Belanja Pemeliharaan Aset Tidak Berwujud-Software  (Penyediaan Peralatan dan Perlengkapan Kantor),True,Barang,E-Purchasing,Kota Batu,Dinas Pendidikan,"Jawa Timur, Batu (Kota)",64297416,43001955.0,January 2026,APBD,True,9 Unit,Belanja Pemeliharaan Aset Tidak Berwujud-Software (Penyediaan Peralatan dan Perlengkapan Kantor),Belanja Microsoft Windows 10 Pro,kabkota,0.0,low,,0,59
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul IV Aplikasi ATOS PAMOR - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64258565,27445275.0,September 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,59
Pengadaan Makanan dan Minuman Rapat (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64278027,11050000.0,August 2026,APBD,True,1 Paket,Konsumsi Rapat; Konsumsi Rapat;,Kudapan (Snack); Makan;,kabkota,0.0,low,,0,59
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul III Aplikasi ATOS PAMOR - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64258311,27445275.0,June 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,59
Pengadaan Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64278008,172700.0,August 2026,APBD,True,1 Paket,Kertas; Amplop;,F4 75 gr; Panjang;,kabkota,0.0,low,,0,59
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul II Aplikasi ATOS PAMOR - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64258042,27445275.0,March 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,59
Pengadaan Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64279352,1927900.0,July 2026,APBD,True,1 Paket,Blok Note; Plastik; Alat Tulis;,Blok Note; ID Card; Pulpen Snowman V3;,kabkota,0.0,low,,0,60
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul VII Aplikasi ATOS PAMOR - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64259329,27445275.0,September 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,60
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul V Aplikasi ATOS PAMOR - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64258861,27445275.0,March 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,60
Pengadaan Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Jasa Lainnya,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64279236,320000.0,July 2026,APBD,True,1 Paket,Baliho;,Cetak Baliho setting;,kabkota,0.0,low,,0,60
Pengadaan Makanan dan Minuman Rapat (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64279296,16250000.0,July 2026,APBD,True,1 Paket,Konsumsi Rapat; Konsumsi Rapat;,Kudapan (Snack); Makan;,kabkota,0.0,low,,0,60
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Mimika,Badan Pendapatan Daerah,"Papua Tengah, Mimika (Kab.)",64298949,106992692.0,March 2026,APBD,True,1 Paket,Beban Pemeliharaan Aset Tidak Berwujud-Software;,Pemeliharaan Aplikasi Gebyar Sadar Pajak Daerah;,kabkota,0.0,low,,0,60
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul III Aplikasi NEW SAMBARA - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64260656,27445275.0,June 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,60
Sewa Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Bangkalan,DINAS KOMUNIKASI DAN INFORMATIKA,"Jawa Timur, Bangkalan (Kab.)",64317590,17500000.0,January 2026,APBD,True,1 Paket,Sewa Aset Tidak Berwujud-Software;,Sewa Zoom Meeting;,kabkota,0.0,low,,0,60
"Belanja Jasa Konversi Aplikasi/Sistem Informasi, Sub. Keg Publikasi dan Dokumentasi DPRD, Setwan, Kab. Wonogiri",True,Jasa Lainnya,Pengadaan Langsung,Kab. Wonogiri,SEKRETARIAT DPRD,"Jawa Tengah, Wonogiri (Kab.)",64299449,30000000.0,February 2026,APBD,True,1 Paket,"Jasa Layanan Teknologi, Informasi dan Komunikasi;",Update Website;,kabkota,0.0,low,,0,60
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul II Aplikasi NEW SAMBARA - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64259800,27445275.0,March 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,60
Langganan aplikasi kehumasan,True,Jasa Lainnya,Pengadaan Langsung,Badan Pusat Statistik,BADAN PUSAT STATISTIK KOTA TANGERANG SELATAN,"Banten, Tangerang Selatan (Kota)",64278897,1800000.0,January 2026,APBN - RUPIAH MURNI (A),True,"(1, THN, @1800000)",Langganan aplikasi kehumasan (1 THN; @1800000),Langganan aplikasi kehumasan (1 THN; @1800000),central,0.0,low,,0,60
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,E-Purchasing,Kab. Ogan Komering Ilir,"Badan Kepegawaian, Pendidikan & Pelatihan","Sumatera Selatan, Ogan Komering Ilir (Kab.)",64260995,10000000.0,February 2026,APBD,True,1 Paket,Jasa Konversi Aplikasi/Sistem Informasi;,Jasa Konversi Aplikasi/Sistem Informasi;,kabkota,0.0,low,,0,60
Pengadaan Makanan dan Minuman Rapat (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64280271,6000000.0,October 2026,APBD,True,1 Paket,Konsumsi Rapat; Konsumsi Rapat;,Makan; Kudapan (Snack);,kabkota,0.0,low,,0,60
Belanja Jasa Operasional Aplikasi Online (UPTD PBP),True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Kalimantan Timur,Dinas Perkebunan,"Kalimantan Timur, Samarinda (Kota)",64281196,14193600.0,January 2026,APBD,True,1 Paket,Belanja Jasa Operasional Aplikasi Online (UPTD PBP),Belanja Jasa Operasional Aplikasi Online (UPTD PBP),provinsi,0.0,low,,0,60
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul V Aplikasi NEW SAMBARA - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64261423,27445275.0,March 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,60
"Jasa Konversi Aplikasi/Sistem Informasi (Pencarian,Pertolongan dan Evaluasi Korban Bencana Kabupaten/Kota)",True,Jasa Konsultansi,Pengadaan Langsung,Kab. Cianjur,BADAN PENANGGULANGAN BENCANA DAERAH,"Jawa Barat, Cianjur (Kab.)",64261628,50000000.0,January 2026,APBD,True,1 Paket,Jasa Konversi Aplikasi/Sistem Informasi;,Jasa Konversi Aplikasi/Sistem Informasi;,kabkota,0.0,low,,0,60
Belanja Pemeliharaan Aset Tidak Berwujud-Software Dukungan Pelaksanaan Sistem Pemerintahan Berbasis Elektronik pada SKPD Tahun 2026,True,Barang,E-Purchasing,Provinsi Jawa Timur,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Jawa Timur, Surabaya (Kota)",64280529,100000000.0,January 2026,APBD,True,1 Paket,Pemeliharaan Aplikasi;,Pemeliharaan Aplikasi (Maintenance dan Updating);,provinsi,0.0,low,,0,60
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Mimika,Badan Pendapatan Daerah,"Papua Tengah, Mimika (Kab.)",64299892,71627500.0,March 2026,APBD,True,1 Paket,Beban Pemeliharaan Aset Tidak Berwujud-Software;,Pemeliharaan Web Bapenda;,kabkota,0.0,low,,0,60
"Serpas, BBM Manuver Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan)",True,Barang,E-Purchasing,Kementerian Pertahanan,Kodim 0618 Bandung Dam III Slw TNI AD,"Jawa Barat, Bandung (Kota)",64319901,1000000.0,June 2026,APBN,False,1,"Serpas, BBM Manuver Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan)","Serpas, BBM Manuver Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan)",central,0.0,low,,0,60
Pengadaan Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64280811,142200.0,October 2026,APBD,True,2 Rim,Kertas;,F4 75 gr;,kabkota,0.0,low,,0,60
Belanja Pemeliharaan Aset Tidak Berwujud-Software  - Dukungan Pelaksanaan Sistem Pemerintahan Berbasis Elektronik pada SKPD - PAD,True,Jasa Lainnya,E-Purchasing,Kab. Probolinggo,Dinas Pendidikan dan Kebudayaan,"Jawa Timur, Probolinggo (Kab.)",64318423,15000000.0,January 2026,APBD,True,1 Paket,Pemeliharaan Website dan Aplikasi,Pemeliharaan Website dan Aplikasi,kabkota,0.0,low,,0,60
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul IV Aplikasi NEW SAMBARA - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64261029,27445275.0,September 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,60
Belanja Modal Aset Tidak Berwujud - Software,True,Jasa Lainnya,Pengadaan Langsung,Kab. Deli Serdang,BADAN PENDAPATAN DAERAH,"Sumatera Utara, Deli Serdang (Kab.)",64261697,50000000.0,April 2026,APBD,True,1 paket,Belanja Modal Aset Tidak Berwujud - Software,Pengembangan Aplikasi 1 Paket,kabkota,0.0,low,,0,60
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,Pengadaan Langsung,Kab. Kepulauan Sangihe,Puskesmas Kalasuge,"Sulawesi Utara, Sangihe Talaud (Kab.)",64261592,2400000.0,January 2026,APBD,True,1 Paket,Pengadaan Belanja Jasa Konversi Aplikasi/Sistem Informasi,Sesuai Spesifikasi Teknis Belanja Jasa Konversi Aplikasi/Sistem Informasi,kabkota,0.0,low,,0,60
Pengadaan software pendukung perwajahan publikasi BPS Provinsi,True,Jasa Lainnya,Pengadaan Langsung,Badan Pusat Statistik,BADAN PUSAT STATISTIK PROVINSI PAPUA,"Papua, Jayapura (Kota)",64320236,7945000.0,February 2026,APBN - RUPIAH MURNI (A),True,1 Paket,"1. Pengadaan software pendukung perwajahan publikasi BPS Provinsi ( 1, PAKET, @ 7945000 );",Spesifikasi sesuai KAK,central,0.0,low,,0,60
Pengadaan Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Barang,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64280883,8925000.0,October 2026,APBD,True,51 Buah,Alat/Bahan untuk Kegiatan Kantor Lainnya;,Tas Ransel;,kabkota,0.0,low,,0,60
UML Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan),True,Barang,E-Purchasing,Kementerian Pertahanan,Kodim 0618 Bandung Dam III Slw TNI AD,"Jawa Barat, Bandung (Kota)",64320054,23100000.0,June 2026,APBN,False,1,UML Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan),UML Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan),central,0.0,low,,0,60
Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,False,Barang,Pengadaan Langsung,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB NUNUKAN,"Kalimantan Utara, Nunukan (Kab.)",64320306,7945000.0,January 2026,APBN - RUPIAH MURNI (A),False,"( 1, PAKET, @ 7945000 )","1. Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, PAKET, @ 7945000 );",Sesuai dengan yang tercantum dalam KAK,central,0.0,low,,0,60
Belanja Jasa Konversi Aplikasi/Sistem Informasi (RKAI),False,Jasa Lainnya,Dikecualikan,Kota Depok,DINAS SOSIAL,"Jawa Barat, Depok (Kota)",64261745,15000000.0,March 2026,APBD,False,1 paket,Biaya Langganan Canva,Biaya Langganan Canva RKAI,kabkota,15000000.0,high,"Pengadaan langganan Canva pada instansi layanan sosial berindikasi kurang relevan sebagai kebutuhan utama pelayanan publik, sementara nilai paket relatif besar untuk satu langganan aplikasi desain. Terdapat indikasi pengeluaran nonprioritas yang layak ditinjau.",1,60
Dikecualikan Belanja Modal Aset Tidak Berwujud-Software,True,Jasa Lainnya,Dikecualikan,Kab. Jember,RUMAH SAKIT DAERAH (RSD) KALISAT - BLUD,"Jawa Timur, Jember (Kab.)",64301780,100000000.0,January 2026,BLUD,True,1 paket,Sesuai kak,sesuai kak,kabkota,0.0,low,,0,60
Jasa Konversi Aplikasi/Sistem Informasi Pengelolaan Aplikasi Sistem Informasi Pendapatan Modul VII Aplikasi NEW SAMBARA - Frontend Developer,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Barat,Badan Pendapatan Daerah,"Jawa Barat, Bandung (Kota)",64262201,27445275.0,September 2026,APBD,True,1 Paket Pekerjaan,Pengelolaan Aplikasi Sistem Pendapatan,"Pengelolaan Aplikasi Sistem Pendapatan - S1 - Frontend Developer Spesifikasi : Pengalaman 3 tahun, perseorangan",provinsi,0.0,low,,0,60
Lisensi Aplikasi Video Confrence,False,Barang,Pengadaan Langsung,Kepolisian Negara Republik Indonesia,SAT BANTEK PASGEGANA KORBRIMOB POLRI,"Jawa Barat, Depok (Kota)",64282359,3216000.0,January 2026,APBN,False,1,Lisensi Aplikasi Video Confrence;,Sesuai yang tertera di KAK,central,0.0,low,,0,60
Opslat Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan),True,Barang,E-Purchasing,Kementerian Pertahanan,Kodim 0618 Bandung Dam III Slw TNI AD,"Jawa Barat, Bandung (Kota)",64319887,5000000.0,June 2026,APBN,False,1,Opslat Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan),Opslat Latsat Bin Proglatsi (Aplikasi Teritorial Ketahanan Pangan),central,0.0,low,,0,60
Pengadaan Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak (Pelatihan Penggunaan Aplikasi Bidang Pendidikan),True,Jasa Lainnya,E-Purchasing,Kab. Konawe,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Tenggara, Konawe (Kab.)",64280856,558500.0,October 2026,APBD,True,1 Paket,Cetak Gambar/Foto; Baliho; Biaya Penggandaan;,Cetak 5 R; Cetak Baliho 2x3 meter; Fotocopy Folio;,kabkota,0.0,low,,0,60
Belanja Sewa Aset Tidak Berwujud-Software,True,Jasa Lainnya,Pengadaan Langsung,Provinsi Kalimantan Timur,Dinas Perkebunan,"Kalimantan Timur, Samarinda (Kota)",64281166,861280.0,March 2026,APBD,True,1 Tahun,Sewa Aplikasi Desain Grafis Online,"Spesifikasi : Versi Pro, Template premium Foto, Video, Grafis",provinsi,0.0,low,,0,60
III.1.28 Jasa Konsultansi Updating Aplikasi Dokumen Lingkungan,True,Jasa Konsultansi,Pengadaan Langsung,Kab. Tangerang,Dinas Lingkungan Hidup dan Kebersihan,"Banten, Tangerang (Kab.)",64302079,50000000.0,April 2026,APBD,True,1 paket,Jasa Konsultansi Updating Aplikasi Dokumen Lingkungan,Paket Jasa Konsultansi Updating Aplikasi Dokumen Lingkungan,kabkota,0.0,low,,0,60
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,E-Purchasing,Kab. Tapin,Dinas Sosial,"Kalimantan Selatan, Tapin (Kab.)",64302901,15000000.0,January 2026,APBD,True,1 Paket,Jasa Pengembangan Dan Perawatan Aplikasi;,;,kabkota,0.0,low,,0,60
